date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:12	8504/8504	---MCZ	200	added ('OK')	text/xml	etag:W/%22f844e0e2a48fe87e77be9b88f598099e%22	http://www.securecomputation.org/category/meetings/feed	www.securecomputation.org/category/meetings/feed	(from http://www.securecomputation.org/category/meetings)
17:02:13	2614/2614	---MCZ	200	added ('OK')	text/xml	etag:W/%22f844e0e2a48fe87e77be9b88f598099e%22	http://www.securecomputation.org/category/awards/feed	www.securecomputation.org/category/awards/feed	(from http://www.securecomputation.org/category/awards)
17:02:14	8727/8727	---MCZ	200	added ('OK')	text/xml	etag:W/%22f844e0e2a48fe87e77be9b88f598099e%22	http://www.securecomputation.org/category/news/feed	www.securecomputation.org/category/news/feed	(from http://www.securecomputation.org/category/news)
17:02:15	2842/2842	---MCZ	200	added ('OK')	text/xml	etag:W/%22f844e0e2a48fe87e77be9b88f598099e%22	http://www.securecomputation.org/category/notes/feed	www.securecomputation.org/category/notes/feed	(from http://www.securecomputation.org/category/notes)
17:02:16	953/953	---MCZ	200	added ('OK')	text/xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.securecomputation.org/2012/quid-pro-quo-tocols/feed	www.securecomputation.org/2012/quid-pro-quo-tocols/feed	(from http://www.securecomputation.org/2012/quid-pro-quo-tocols)
17:02:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:16%20GMT	http://www.securecomputation.org/?p=133	www.securecomputation.org/index9c49.html	(from http://www.securecomputation.org/2012/quid-pro-quo-tocols)
17:02:17	968/968	---MCZ	200	added ('OK')	text/xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.securecomputation.org/2011/private-set-intersection/feed	www.securecomputation.org/2011/private-set-intersection/feed	(from http://www.securecomputation.org/2011/private-set-intersection)
17:02:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:17%20GMT	http://www.securecomputation.org/?p=125	www.securecomputation.org/index5070.html	(from http://www.securecomputation.org/2011/private-set-intersection)
17:02:18	1007/1007	---MCZ	200	added ('OK')	text/xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.securecomputation.org/2011/efficient-secure-computation-with-garbled-circuits/feed	www.securecomputation.org/2011/efficient-secure-computation-with-garbled-circuits/feed	(from http://www.securecomputation.org/2011/efficient-secure-computation-with-garbled-circuits)
17:02:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:18%20GMT	http://www.securecomputation.org/?p=119	www.securecomputation.org/index7737.html	(from http://www.securecomputation.org/2011/efficient-secure-computation-with-garbled-circuits)
17:02:19	941/941	---MCZ	200	added ('OK')	text/xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.securecomputation.org/2011/uva-today-story/feed	www.securecomputation.org/2011/uva-today-story/feed	(from http://www.securecomputation.org/2011/uva-today-story)
17:02:19	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2023%20Dec%202018%2022:02:19%20GMT	http://www.securecomputation.org/2011/kickoff-meeting-notes	www.securecomputation.org/2011/kickoff-meeting-notes	(from http://www.securecomputation.org/2011/uva-today-story)
17:02:21	2948/2948	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Dec%202018%2022:02:20%20GMT	http://www.securecomputation.org/wp-login.php?redirect_to=/2011/kickoff-meeting-notes	www.securecomputation.org/wp-logine9da.html	(from http://www.securecomputation.org/2011/uva-today-story)
17:02:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:21%20GMT	http://www.securecomputation.org/?p=114	www.securecomputation.org/index30a5.html	(from http://www.securecomputation.org/2011/uva-today-story)
17:02:22	950/950	---MCZ	200	added ('OK')	text/xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.securecomputation.org/2011/kick-off-meeting/feed	www.securecomputation.org/2011/kick-off-meeting/feed	(from http://www.securecomputation.org/2011/kick-off-meeting)
17:02:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:23%20GMT	http://www.securecomputation.org/?p=86	www.securecomputation.org/index6213.html	(from http://www.securecomputation.org/2011/kick-off-meeting)
17:02:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:26%20GMT	http://www.securecomputation.org/?p=36	www.securecomputation.org/index0d0b.html	(from http://www.securecomputation.org/2011/kickoff-meeting)
17:02:28	941/941	---MCZ	200	added ('OK')	text/xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.securecomputation.org/2011/kickoff-meeting/feed	www.securecomputation.org/2011/kickoff-meeting/feed	(from http://www.securecomputation.org/2011/kickoff-meeting)
17:02:30	3341/3341	---M--	200	added ('OK')	image/png	etag:%22d0d-42ed160fbcd40%22	http://www.securecomputation.org/wp-includes/images/rss.png	www.securecomputation.org/wp-includes/images/rss.png	(from http://www.securecomputation.org/kickoff/)
17:02:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Jul%202016%2015:00:12%20GMT	http://www.securecomputation.org/?feed=rss2	www.securecomputation.org/indexd784.html	(from http://www.securecomputation.org/kickoff/)
17:02:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Jul%202016%2015:00:12%20GMT	http://www.securecomputation.org/?feed=atom	www.securecomputation.org/index6e0a.html	(from http://www.securecomputation.org/kickoff/)
17:02:34	969/969	---MCZ	200	added ('OK')	text/xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.securecomputation.org/2011/garbled-circuits-framework/feed	www.securecomputation.org/2011/garbled-circuits-framework/feed	(from http://www.securecomputation.org/2011/garbled-circuits-framework)
17:02:34	948/948	---MCZ	404	error ('Not%20Found')	text/xml	etag:W/%22f844e0e2a48fe87e77be9b88f598099e%22	http://www.securecomputation.org/?feed=comments-rss2	www.securecomputation.org/indexa6da.html	(from http://www.securecomputation.org/kickoff/)
17:02:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:GMT	http://www.securecomputation.org/?feed=rss2&page_id=59	www.securecomputation.org/indexc5f6.html	(from http://www.securecomputation.org/kickoff/)
17:02:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:35%20GMT	http://www.securecomputation.org/?page_id=9	www.securecomputation.org/index2a9c.html	(from http://www.securecomputation.org/kickoff/)
17:02:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:37%20GMT	http://www.securecomputation.org/?page_id=77	www.securecomputation.org/indexb9fc.html	(from http://www.securecomputation.org/kickoff/)
17:02:39	8891/8891	---M--	200	added ('OK')	image/png	etag:%2222bb-4a55273e2fe40%22	http://www.securecomputation.org/wp-admin/images/logo-login.png	www.securecomputation.org/wp-admin/images/logo-login.png	(from http://www.securecomputation.org/wp-admin/css/login.css?ver=20110610)
17:02:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:38%20GMT	http://www.securecomputation.org/?page_id=59	www.securecomputation.org/indexc4a7.html	(from http://www.securecomputation.org/kickoff/)
17:02:40	395/395	---M--	200	added ('OK')	image/gif	etag:%2218b-449150328f7c0%22	http://www.securecomputation.org/wp-admin/images/bubble_bg.gif	www.securecomputation.org/wp-admin/images/bubble_bg.gif	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:02:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:40%20GMT	http://www.securecomputation.org/?page_id=7	www.securecomputation.org/index3204.html	(from http://www.securecomputation.org/kickoff/)
17:02:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:02:41%20GMT	http://www.securecomputation.org/?p=44	www.securecomputation.org/index49b1.html	(from http://www.securecomputation.org/2011/garbled-circuits-framework)
17:02:43	210/210	---M--	200	added ('OK')	image/png	etag:%22d2-45be65c8a0f00%22	http://www.securecomputation.org/wp-admin/images/white-grad.png	www.securecomputation.org/wp-admin/images/white-grad.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:02:44	223/223	---M--	200	added ('OK')	image/png	etag:%22df-45c42989f0d40%22	http://www.securecomputation.org/wp-admin/images/white-grad-active.png	www.securecomputation.org/wp-admin/images/white-grad-active.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:02:50	243/243	---M--	200	added ('OK')	image/png	etag:%22f3-45be65c8a0f00%22	http://www.securecomputation.org/wp-admin/images/button-grad.png	www.securecomputation.org/wp-admin/images/button-grad.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:02:52	284/284	---M--	200	added ('OK')	image/png	etag:%2211c-45c42989f0d40%22	http://www.securecomputation.org/wp-admin/images/button-grad-active.png	www.securecomputation.org/wp-admin/images/button-grad-active.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:02:54	785/785	---M--	200	added ('OK')	image/png	etag:%22311-3ff5605943000%22	http://www.securecomputation.org/wp-admin/images/fade-butt.png	www.securecomputation.org/wp-admin/images/fade-butt.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:02:56	111/111	---M--	200	added ('OK')	image/gif	etag:%226f-448614edd5bc0%22	http://www.securecomputation.org/wp-admin/images/date-button.gif	www.securecomputation.org/wp-admin/images/date-button.gif	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:02:58	181/181	---M--	200	added ('OK')	image/gif	etag:%22b5-442c76407cac0%22	http://www.securecomputation.org/wp-admin/images/xit.gif	www.securecomputation.org/wp-admin/images/xit.gif	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:00	494/494	---M--	200	added ('OK')	image/png	etag:%221ee-4a3086e556a40%22	http://www.securecomputation.org/wp-admin/images/arrows.png	www.securecomputation.org/wp-admin/images/arrows.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:02	495/495	---M--	200	added ('OK')	image/png	etag:%221ef-4a3086e556a40%22	http://www.securecomputation.org/wp-admin/images/arrows-dark.png	www.securecomputation.org/wp-admin/images/arrows-dark.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:04	190/190	---M--	200	added ('OK')	image/gif	etag:%22be-45a4e2412bf80%22	http://www.securecomputation.org/wp-admin/images/ed-bg.gif	www.securecomputation.org/wp-admin/images/ed-bg.gif	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:06	131/131	---M--	200	added ('OK')	image/png	etag:%2283-4a3086e556a40%22	http://www.securecomputation.org/wp-admin/images/menu-shadow.png	www.securecomputation.org/wp-admin/images/menu-shadow.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:11	12527/12527	---M--	200	added ('OK')	image/png	etag:%2230ef-48395b96ae9c0%22	http://www.securecomputation.org/wp-admin/images/menu.png?ver=20100531	www.securecomputation.org/wp-admin/images/menue54f.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:12	14649/14649	---M--	200	added ('OK')	image/png	etag:%223939-48395b96ae9c0%22	http://www.securecomputation.org/wp-admin/images/icons32.png?ver=20100531	www.securecomputation.org/wp-admin/images/icons32e54f.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:14	1139/1139	---M--	200	added ('OK')	image/gif	etag:%22473-488b668b59a40%22	http://www.securecomputation.org/wp-admin/images/menu-bits.gif?ver=20100610	www.securecomputation.org/wp-admin/images/menu-bits1a0b.gif	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:14	1104/1104	---M--	200	added ('OK')	image/png	etag:%22450-45d930814d000%22	http://www.securecomputation.org/wp-admin/images/list.png	www.securecomputation.org/wp-admin/images/list.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:16	849/849	---M--	200	added ('OK')	image/png	etag:%22351-4a278e98dc440%22	http://www.securecomputation.org/wp-admin/images/wp-logo.png?ver=20110504	www.securecomputation.org/wp-admin/images/wp-logo8317.png	(from http://www.securecomputation.org/wp-admin/css/colors-fresh.css?ver=20110703)
17:03:20	8532/8532	---MCZ	200	added ('OK')	text/xml	etag:W/%22f844e0e2a48fe87e77be9b88f598099e%22	http://www.securecomputation.org/category/talks/feed	www.securecomputation.org/category/talks/feed	(from http://www.securecomputation.org/category/talks)
17:03:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:03:20%20GMT	http://www.securecomputation.org/author/admin/	www.securecomputation.org/author/admin/index.html	(from http://www.securecomputation.org/author/admin/page/2)
17:03:22	13156/13156	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Dec%202018%2022:03:18%20GMT	http://www.securecomputation.org/author/admin/page/3	www.securecomputation.org/author/admin/page/3.html	(from http://www.securecomputation.org/author/admin/page/2)
17:03:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2023%20Dec%202018%2022:03:22%20GMT	http://www.securecomputation.org/category/papers/	www.securecomputation.org/category/papers/index.html	(from http://www.securecomputation.org/category/papers/page/2)
17:05:20	1110108/1110108	---M--	200	added ('OK')	image/png	etag:%2210f05c-4ac11183e4c00%22	http://www.securecomputation.org/wp-content/uploads/2011/09/IMG_1525-1024x768.png	www.securecomputation.org/wp-content/uploads/2011/09/IMG_1525-1024x768.png	(from http://www.securecomputation.org/2011/kick-off-meeting)
17:06:06	1746821/1746821	---M--	200	added ('OK')	image/png	etag:%221aa785-4ac1116a24f40%22	http://www.securecomputation.org/wp-content/uploads/2011/09/IMG_1525.png	www.securecomputation.org/wp-content/uploads/2011/09/IMG_1525.png	(from http://www.securecomputation.org/2011/kick-off-meeting)
17:06:07	13047/13047	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Dec%202018%2022:06:06%20GMT	http://www.securecomputation.org/author/admin/page/4	www.securecomputation.org/author/admin/page/4.html	(from http://www.securecomputation.org/author/admin/page/3)
